Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target
L,302.1,311.5,1718,24.5,71,0
M,301.4,310.4,1845,28.4,44,0
L,303.7,313.7,1833,24.5,210,0
H,300.1,311.1,2027,21.5,26,0
M,302.6,312.1,1404,36.4,211,0
M,301.4,311.7,1473,42.1,31,0
L,296.3,305.8,1936,22.6,73,0
M,300.6,311.3,1585,28.9,119,0
L,303.9,313.3,1406,47.5,151,0
L,297.6,308.1,1459,46.9,3,0
M,302.5,311.7,1690,30.9,125,0
M,299.0,308.5,1381,42.8,52,0
M,300.8,311.5,1833,25.6,21,0
L,296.8,307.5,1331,59.0,199,1
L,298.1,309.5,1423,40.0,159,0
M,296.6,307.3,1560,33.9,198,0
L,296.8,308.9,1546,37.6,0,0
L,302.5,310.8,1334,44.4,143,1
L,301.5,310.4,1539,39.2,52,0
H,300.0,311.4,1490,41.5,77,0
L,297.2,308.7,1568,36.5,58,0
L,298.3,309.2,1840,29.8,93,0
L,299.2,308.6,1522,39.4,126,0
L,301.9,310.6,1459,43.4,132,0
H,298.2,307.6,1303,56.4,0,0
L,302.1,310.3,1458,42.1,62,0
M,303.8,312.7,1644,35.0,14,0
M,301.9,311.4,1482,45.1,114,0
L,295.6,306.5,1647,36.3,131,0
L,300.4,309.1,1518,37.5,38,0
L,300.5,311.9,1374,42.0,95,0
M,298.7,309.3,1605,36.8,149,0
L,297.8,308.8,1437,46.1,169,0
H,301.0,310.3,1438,36.6,89,0
H,299.5,309.4,1455,36.8,190,0
M,297.6,308.9,1500,40.2,32,0
L,300.6,310.7,1527,40.5,51,0
L,298.9,310.4,1725,28.8,94,0
H,302.8,311.8,1819,28.0,46,0
H,300.7,311.1,1475,34.5,172,0
L,301.7,311.3,1569,34.4,48,0
L,297.2,308.2,1611,37.6,215,0
L,299.6,308.9,1813,24.1,70,0
L,300.0,309.6,1563,37.4,99,0
M,298.8,309.7,1287,49.7,137,0
M,297.3,309.9,1541,33.5,163,0
M,303.4,312.9,1298,54.5,69,0
L,299.2,308.6,1392,53.4,186,0
M,302.0,311.1,1810,25.6,213,0
H,299.8,310.6,1767,31.7,183,0
L,297.4,309.6,1480,47.1,21,0
L,300.6,311.3,1407,43.4,100,0
L,298.4,309.5,1353,53.4,11,0
H,302.7,312.3,1518,47.4,225,0
L,301.3,310.8,1489,40.3,71,0
M,300.7,309.9,1412,47.0,3,0
L,298.1,307.2,1782,28.8,219,1
L,303.0,311.6,1517,39.8,165,0
L,300.2,309.1,1445,51.6,0,0
M,297.8,307.7,1416,53.0,107,0
L,300.9,310.7,1601,33.9,129,0
L,299.4,310.4,1456,38.8,160,0
H,302.3,310.0,1798,23.9,168,0
L,300.4,311.7,1451,38.6,29,0
L,300.6,310.0,1496,41.0,129,0
L,300.4,310.5,1344,52.9,128,0
L,298.3,309.0,1590,34.3,151,0
L,298.7,310.1,2102,16.6,58,0
M,299.5,308.3,1292,59.6,44,0
L,300.7,309.6,1456,40.6,84,0
L,301.9,310.6,1411,46.0,112,0
L,301.0,310.7,1843,22.5,168,0
M,297.0,308.4,1561,33.1,207,0
L,303.7,311.2,1723,26.1,232,1
M,299.9,309.3,1903,21.7,132,0
M,299.7,310.9,1344,46.2,116,0
H,298.9,309.5,1433,51.3,160,0
L,298.4,309.1,1356,62.4,33,0
M,302.0,310.7,1577,35.6,64,0
L,300.5,310.2,1556,45.2,73,0
H,301.9,310.6,1333,62.7,112,0
M,299.6,309.3,1259,58.0,88,0
M,299.3,309.8,1512,42.7,44,0
L,297.8,308.1,1414,55.9,217,1
L,304.0,312.5,1586,35.0,93,0
L,300.8,309.8,1716,25.1,84,0
M,299.2,308.8,1740,29.1,148,0
H,297.7,308.3,1470,46.2,102,0
H,300.6,312.3,1714,28.2,201,0
L,298.6,308.4,1494,43.3,55,0
L,297.6,309.2,1521,37.5,175,0
L,303.6,312.6,1313,44.6,26,0
M,300.8,311.7,1567,35.5,13,0
M,301.1,312.0,1483,39.8,102,0
L,298.5,308.5,1466,54.1,61,0
M,298.2,308.5,1269,59.9,161,0
H,299.6,309.3,1365,46.2,147,0
L,299.5,309.3,1615,29.4,21,0
L,299.8,309.0,1324,60.3,147,0
M,299.4,310.4,1396,43.7,91,0
L,302.0,311.1,1932,22.7,160,0
L,300.8,311.3,1374,41.6,205,0
M,300.5,311.7,2060,20.8,159,0
L,300.7,311.1,1566,30.5,0,0
L,300.7,310.8,1697,23.6,165,0
L,304.1,313.4,1413,43.3,114,0
L,298.1,309.2,1426,60.9,145,1
M,300.8,309.8,1491,36.5,171,0
L,300.1,311.7,1608,36.3,0,0
L,300.5,309.6,1371,57.0,172,0
M,298.8,308.5,1593,37.7,204,0
L,303.5,313.0,1427,48.8,180,0
H,299.7,308.9,1591,34.3,17,0
L,299.4,308.8,1623,31.4,178,0
L,297.8,308.5,1714,25.1,139,0
M,297.4,308.4,1561,30.9,159,0
L,296.2,307.0,1528,45.2,61,0
L,299.2,308.5,1393,50.6,96,0
M,302.9,313.0,1605,32.8,107,0
L,297.9,308.6,1568,34.9,136,0
M,299.5,310.1,1463,48.9,83,0
H,299.1,309.1,1729,29.9,140,0
L,302.5,312.2,1602,35.7,15,0
L,298.9,308.7,1777,25.0,130,0
M,301.2,310.7,1426,47.4,26,0
L,296.8,308.0,1446,46.0,150,0
M,300.6,310.0,1414,48.4,107,0
L,301.8,311.1,1406,48.6,78,0
L,298.4,308.9,1276,59.7,31,0
L,300.9,311.6,1419,40.9,23,0
H,297.7,309.1,1336,47.4,119,0
L,299.1,310.2,1553,33.7,149,0
M,300.3,310.9,1959,19.0,99,0
L,299.0,308.6,1339,45.2,114,0
M,297.8,308.8,1442,47.6,137,0
L,300.1,310.4,1425,41.5,174,0
L,300.8,311.8,1461,35.1,76,0
M,302.4,311.8,1410,43.2,55,0
L,297.4,308.7,1454,55.1,82,0
L,299.2,309.6,1611,35.1,200,0
M,298.7,309.1,1720,25.9,38,0
L,303.7,311.6,1515,39.9,219,0
M,301.6,311.3,1338,47.3,30,0
L,297.1,308.5,1396,39.6,34,0
M,297.8,309.4,1533,50.3,196,0
L,300.8,310.1,1396,51.7,76,0
L,297.4,309.1,1576,34.0,7,0
M,297.6,309.4,1702,28.1,154,0
H,299.9,309.4,1490,39.1,39,0
L,301.1,310.7,1544,43.1,51,0
M,300.4,312.0,1322,56.9,122,0
L,300.2,309.0,1681,27.7,213,0
L,298.9,309.6,1529,36.8,38,0
L,300.6,310.3,1399,53.0,207,0
L,300.7,310.7,1471,43.6,175,0
L,302.0,310.4,1364,50.7,132,1
M,297.1,309.3,1505,39.2,115,0
L,303.4,312.1,1423,45.2,172,0
L,298.3,308.3,1328,57.8,90,0
L,299.4,309.6,1577,40.6,108,0
L,301.7,310.3,1648,33.1,42,0
L,300.7,310.7,1636,36.3,88,0
L,295.8,306.0,1378,55.0,117,0
L,302.7,312.4,1481,41.6,213,0
L,296.6,307.1,1430,48.9,141,0
M,302.1,311.8,1483,41.8,153,0
M,298.4,309.6,1474,42.3,122,0
L,303.6,312.7,1653,35.0,181,0
L,297.3,308.5,1326,51.7,48,0
M,300.0,310.7,1580,38.9,186,0
M,303.1,312.1,1406,45.9,81,0
H,297.3,309.9,1515,42.6,80,0
L,301.0,310.7,1490,37.0,76,0
L,299.8,310.5,1665,33.9,188,0
M,300.3,311.2,1270,54.6,168,0
H,301.9,311.4,1454,42.9,21,0
L,304.4,312.7,1733,25.7,163,0
L,301.0,310.4,1584,38.4,16,0
M,301.8,310.7,1414,48.1,22,0
M,297.6,307.8,1558,41.0,0,0
M,298.1,308.2,1433,46.9,170,0
L,298.9,310.9,1540,34.1,139,0
L,302.4,310.6,1638,32.7,142,0
M,300.7,309.6,1444,48.0,27,0
L,297.3,308.4,1459,50.8,219,1
H,299.6,309.1,1513,39.4,36,0
M,300.2,309.6,1607,30.2,14,0
M,300.6,309.9,1493,44.0,167,0
L,299.0,308.8,1431,46.8,23,0
M,302.2,311.1,1651,32.5,115,0
M,299.8,309.0,1372,56.2,98,0
M,298.7,310.0,1366,50.5,31,0
M,300.6,311.4,1382,45.6,66,0
L,299.8,311.3,1577,42.6,59,0
L,301.9,311.3,1354,58.0,193,1
H,298.3,309.4,1410,49.7,82,0
L,302.1,310.9,1576,30.3,43,0
L,302.1,311.6,1405,47.1,53,0
L,297.1,308.4,1528,39.2,29,0
L,298.5,310.2,1589,39.4,41,0
M,299.9,308.7,1533,36.6,33,0
M,301.7,311.1,1410,38.2,41,0
L,298.0,307.6,1936,19.5,200,0
L,299.1,309.9,1533,40.7,116,0
L,300.0,309.6,1532,36.0,167,0
L,300.0,309.0,1343,59.7,58,0
L,303.6,312.7,1568,29.4,228,0
L,302.7,310.9,1484,36.7,113,0
L,299.5,308.8,1613,36.5,77,0
L,301.0,311.1,1550,36.6,168,0
L,297.4,307.9,1408,52.1,209,1
L,301.1,311.1,1839,25.7,167,0
L,298.3,307.6,2401,12.3,165,1
L,298.6,309.4,1556,45.9,139,0
M,302.1,311.9,1514,39.7,147,0
L,296.5,308.7,1516,43.6,104,0
H,300.6,309.7,1482,46.4,61,0
M,300.7,310.6,1278,52.7,105,0
L,300.5,309.7,1408,43.9,196,0
L,300.2,309.4,1663,29.3,62,0
M,300.1,309.8,1331,56.0,176,0
M,300.7,309.3,1522,41.1,214,0
M,301.9,309.9,1488,42.9,31,0
M,303.9,312.8,1642,34.1,13,0
L,303.5,313.0,1441,47.5,13,0
L,298.2,310.1,1599,34.6,151,0
M,298.0,308.4,1435,42.1,17,0
H,300.8,311.3,1713,31.6,201,0
H,303.1,311.7,1619,37.7,42,0
L,298.2,308.1,1476,31.6,189,0
M,297.7,308.5,1360,52.3,19,0
M,299.3,310.6,2098,18.3,111,0
L,304.3,313.8,1544,37.0,114,0
L,298.9,308.3,1265,61.1,15,0
M,300.8,311.1,1362,46.7,134,0
L,298.2,307.1,1366,43.3,156,0
M,297.6,308.6,1733,29.4,71,0
L,300.7,310.6,1393,44.5,50,0
M,297.9,307.6,1960,21.4,35,0
M,298.0,309.2,1359,51.8,66,0
M,301.6,310.4,1637,35.0,122,0
L,299.4,308.3,1311,55.0,158,0
L,298.0,307.8,1833,20.5,77,0
L,297.5,307.2,1429,39.5,20,0
L,296.7,307.4,1631,34.3,170,0
L,297.0,307.7,1390,53.9,141,0
H,297.2,308.4,2427,15.2,167,0
L,296.9,307.5,1429,48.1,187,0
L,299.7,311.0,1493,47.5,91,0
L,303.5,311.8,1312,56.7,186,1
L,299.3,308.4,1825,25.3,38,0
L,304.6,312.0,1554,48.1,153,0
L,299.9,310.1,1480,39.7,62,0
L,299.7,311.0,1550,33.5,131,0
M,297.5,309.8,1685,28.7,177,0
L,301.8,310.3,1546,36.5,58,0
M,301.9,310.6,1596,36.1,106,0
H,299.5,309.0,1468,49.7,132,0
L,299.4,309.2,1307,53.6,187,0
L,298.2,308.3,1413,41.9,174,0
H,297.7,309.6,1362,52.9,77,0
M,297.2,308.4,1433,43.5,195,0
L,299.2,309.4,1981,21.8,167,0
L,304.3,312.8,1506,49.9,30,0
M,299.0,308.7,1689,27.5,103,0
L,296.3,307.1,1553,37.6,48,0
M,303.7,313.5,1364,40.7,153,0
L,304.2,313.5,1395,46.1,150,0
M,299.8,311.2,1564,43.9,125,0
L,296.6,308.0,1270,50.5,145,0
L,304.1,312.7,1568,38.2,93,0
L,296.7,307.1,1536,37.9,200,0
L,296.1,305.9,1385,51.8,5,0
L,300.4,310.1,1530,42.3,73,0
M,298.1,308.1,1290,55.1,49,0
L,301.7,311.7,1429,51.5,205,0
M,298.0,308.7,2079,19.6,111,0
L,295.4,306.2,1672,29.5,179,0
L,298.4,309.0,1578,34.3,72,0
H,298.7,310.7,1723,26.2,80,0
L,302.2,310.8,1373,49.5,20,0
M,300.3,309.1,1666,31.1,213,0
H,298.0,308.8,1380,43.2,184,0
L,299.9,309.2,1595,32.3,79,0
L,301.5,310.5,1359,55.7,194,0
L,298.0,307.5,1774,23.8,105,0
M,296.7,307.9,1507,35.4,57,0
H,299.2,309.4,1453,50.8,135,0
L,299.3,308.9,1488,36.6,45,0
M,301.5,309.7,1269,68.2,114,1
L,296.6,308.6,1608,33.7,191,0
M,299.7,309.2,1387,44.6,141,0
L,298.1,307.7,1719,27.9,170,0
M,297.4,308.2,1492,38.4,40,0
L,302.6,312.0,1849,23.5,106,0
M,297.2,308.1,1451,41.9,3,0
M,304.3,313.6,2109,18.5,139,0
L,301.6,311.0,1498,45.1,133,0
L,301.7,311.5,1464,48.7,106,0
L,303.6,312.4,1396,50.8,91,0
L,300.8,310.7,1659,30.5,63,0
L,300.4,310.5,1328,51.5,30,0
L,299.2,310.4,1595,32.5,178,0
L,298.3,307.7,1607,36.8,81,0
L,303.6,313.0,1465,42.4,210,0
L,300.5,311.8,1750,28.5,29,0
L,300.0,310.1,1679,29.3,0,0
M,298.8,309.3,1630,34.7,174,0
L,301.5,311.5,1292,49.8,104,0
M,300.8,311.4,1351,53.9,37,0
L,300.8,310.9,1457,44.1,47,0
L,298.0,308.6,1341,59.4,120,0
L,296.7,308.3,1569,35.5,103,0
L,300.3,311.4,1610,38.6,188,0
M,301.9,311.1,1510,39.0,97,0
M,298.1,309.5,1448,42.0,149,0
L,301.2,310.4,1466,44.8,115,0
L,295.6,305.9,1332,54.7,122,0
L,298.1,308.4,1327,47.3,9,0
L,300.7,311.8,1374,45.3,54,0
L,298.7,310.5,1378,50.4,15,0
H,301.8,310.9,1294,60.0,133,0
H,299.6,308.6,1460,37.4,195,0
M,298.0,310.3,1410,45.7,58,0
M,296.8,307.9,1497,42.8,56,0
L,301.4,310.8,1539,34.1,54,0
M,300.7,311.4,1838,24.9,180,0
L,302.9,312.4,1410,61.6,125,1
L,296.8,307.6,1666,34.3,195,0
H,299.3,309.9,1432,49.7,208,0
M,302.7,312.0,1471,49.5,183,0
M,297.6,308.9,1398,42.2,115,0
M,302.1,312.0,1590,29.1,193,0
M,303.8,312.9,1539,41.2,77,0
L,301.6,310.4,1448,39.7,3,0
L,300.1,310.2,1519,47.8,12,0
M,302.6,311.6,1395,49.6,60,0
M,299.0,310.2,1736,30.8,80,0
M,297.8,307.5,1365,47.3,35,0
L,299.7,311.9,1376,51.4,45,0
M,302.1,310.6,1430,45.3,79,0
L,296.9,308.4,1337,54.3,64,0
L,302.6,311.5,1322,56.6,186,0
L,299.7,308.7,1495,39.8,184,0
M,298.6,309.1,1503,39.5,4,0
M,300.8,310.8,1409,43.2,216,1
L,297.6,308.3,1592,31.3,30,0
L,301.5,311.6,1453,46.9,12,0
L,300.6,309.8,1451,44.3,191,0
M,295.8,307.3,1522,35.1,169,0
M,297.1,308.9,1492,40.1,89,0
L,298.4,308.1,1581,35.4,136,0
L,298.4,306.9,1418,39.3,18,0
H,300.0,311.0,1680,29.7,118,0
L,300.0,309.0,1445,43.3,99,0
M,301.0,311.0,1485,37.0,114,0
H,298.5,309.0,1831,25.1,183,0
L,301.7,310.4,1388,49.5,132,0
M,298.7,308.3,1375,43.5,52,0
L,299.6,309.8,1484,44.2,39,0
L,297.8,308.8,1624,35.6,10,0
M,300.0,308.8,1379,47.2,82,0
L,301.3,310.4,1300,51.7,111,0
M,297.9,307.9,2086,21.3,150,0
L,300.4,310.3,1527,37.2,154,0
L,299.1,309.5,1625,35.2,51,0
L,302.1,310.6,1523,42.5,62,0
M,302.1,310.7,1357,50.7,135,1
L,300.5,309.6,1554,42.2,151,0
M,304.0,312.7,1632,35.3,105,0
L,298.0,310.1,2200,16.8,26,0
L,300.0,309.5,1725,32.9,153,0
L,302.9,311.5,1635,30.5,170,0
M,298.8,310.1,1585,32.3,228,0
M,302.0,311.2,1408,53.3,54,0
L,303.5,312.0,1428,49.1,87,0
L,297.9,307.8,1520,45.5,89,0
L,299.6,309.5,1388,60.3,54,0
L,298.4,307.8,1480,43.6,146,0
L,301.2,310.3,1605,35.7,217,1
L,296.9,308.2,1646,30.0,40,0
L,298.6,310.4,1545,44.8,117,0
M,300.7,310.6,1928,22.4,41,0
M,297.2,307.9,1657,30.7,214,0
L,301.9,311.4,1376,51.4,7,0
L,297.8,309.1,1444,49.1,22,0
L,299.6,311.8,1537,35.4,181,0
L,301.3,311.3,2322,15.8,48,0
L,297.4,307.6,1901,21.4,120,0
M,296.3,307.1,1361,42.2,7,0
L,298.7,310.1,1559,32.9,200,0
L,297.0,307.0,1507,37.8,160,0
H,297.3,308.0,1501,40.0,141,0
M,304.1,312.8,1493,42.3,100,0
M,299.6,309.1,1437,49.3,144,0
L,303.3,311.4,1523,42.8,63,0
L,299.9,309.4,1785,24.5,167,0
L,297.2,308.3,1457,43.1,46,0
M,301.2,311.2,1646,34.8,0,0
L,298.7,310.5,1415,47.4,199,0
L,297.1,308.3,1465,48.1,69,0
L,303.8,312.5,1358,40.5,219,0
M,297.9,308.8,1598,32.8,56,0
L,300.4,309.6,1561,32.4,194,0
H,298.3,309.5,1710,29.4,71,0
L,303.1,310.0,1308,62.6,94,1
L,301.9,311.3,2645,13.2,33,0
M,300.3,309.8,1784,28.3,170,0
M,297.9,308.4,1423,46.3,52,0
L,302.5,311.1,1444,48.0,197,0
L,299.6,311.3,1390,43.8,23,0
L,300.6,310.6,1496,46.2,143,0
L,303.6,312.4,1749,28.1,124,0
L,299.3,310.5,1387,51.7,190,0
L,297.1,307.6,1264,51.4,98,0
M,296.9,307.8,1384,49.7,125,0
L,300.1,311.4,1576,34.0,87,0
L,302.6,310.4,1569,32.6,175,0
M,296.3,307.3,1338,48.4,10,0
L,298.4,308.6,1290,59.3,37,0
L,301.2,310.1,1644,31.5,193,0
M,298.8,310.5,1596,33.7,102,0
M,298.5,307.4,1707,26.9,7,0
M,297.5,308.8,1626,30.8,46,0
M,298.1,308.2,2109,17.1,44,0
M,298.3,309.6,1481,41.3,4,0
L,301.3,311.0,1464,43.3,151,0
M,304.5,313.4,1518,33.0,143,0
H,298.6,310.1,1612,30.5,25,0
M,302.4,310.6,1580,33.9,136,0
L,297.2,308.0,1351,54.9,68,0
L,297.3,309.3,1427,46.5,67,0
L,302.8,311.1,1586,46.1,133,0
M,298.1,309.1,1433,46.3,15,0
H,301.1,311.0,1390,46.5,33,0
L,302.1,311.0,1372,49.4,53,0
L,298.4,308.8,1605,38.2,51,0
L,303.0,311.7,1521,44.9,36,0
L,300.8,309.6,1380,52.3,73,0
M,295.9,305.6,1555,44.1,172,0
L,296.6,307.7,1614,29.9,176,0
L,301.1,310.3,1307,53.1,195,0
M,299.9,309.4,1458,42.5,104,0
L,295.4,306.0,1639,28.2,175,0
M,303.7,311.8,1474,37.8,142,0
M,301.3,311.2,1998,20.9,17,0
M,300.8,309.8,1387,49.2,192,0
L,299.2,308.7,1546,46.8,170,0
M,298.4,307.8,1530,36.5,103,0
L,298.0,308.0,1275,61.4,32,0
L,297.8,307.8,1648,36.6,55,0
L,301.1,310.5,1470,46.0,116,0
L,298.6,309.4,1578,31.8,114,0
L,297.9,308.4,1315,49.3,103,0
M,298.3,309.1,1561,37.4,90,0
M,301.1,310.5,1765,25.9,214,0
M,304.2,313.6,1385,49.9,20,0
L,298.2,307.4,1409,49.0,186,0
L,297.5,308.5,1593,36.7,144,0
L,299.5,311.9,1759,26.4,19,0
L,299.9,310.8,1606,30.7,39,0
L,297.5,307.7,1856,21.4,59,0
L,299.4,309.7,1721,24.1,66,0
L,296.4,308.2,1584,40.0,6,0
L,298.8,309.6,1622,33.6,93,0
L,299.8,310.5,1356,45.8,171,0
L,300.2,309.4,1554,38.9,150,0
M,300.9,312.1,1829,22.9,32,0
L,302.7,311.1,1453,40.4,86,0
L,298.5,308.5,1519,36.3,120,0
L,301.1,312.4,1372,39.4,63,0
L,298.3,309.8,1447,46.3,13,0
M,298.8,310.4,1549,37.4,184,0
L,298.6,309.9,1693,29.5,56,0
M,297.7,308.1,1518,47.8,17,0
H,297.2,309.3,1267,50.8,0,0
L,300.7,310.5,1633,34.5,56,0
L,300.0,310.4,1745,28.9,116,0
L,297.7,307.7,1509,42.8,155,0
H,298.6,309.8,1304,56.0,51,0
H,301.8,310.8,1534,36.0,120,0
L,298.2,309.2,1434,47.5,93,0
L,297.0,308.7,1447,44.0,145,0
L,301.2,309.8,1493,42.2,167,0
M,301.5,310.3,1426,41.0,35,0
L,297.9,308.4,1543,42.0,224,1
L,297.2,307.6,1819,24.3,175,0
L,301.7,310.6,1735,27.6,39,0
H,298.6,308.3,1905,23.2,157,0
L,297.1,309.0,1551,44.5,124,0
L,298.7,310.0,1521,46.9,144,0
L,298.0,307.6,1621,37.2,123,0
L,301.3,310.8,1642,32.6,197,0
H,297.7,309.4,1493,43.9,7,0
H,300.4,311.6,1674,26.8,58,0
L,301.8,309.5,1390,58.9,67,0
L,300.4,311.6,1500,36.7,66,0
H,300.6,310.4,1427,45.0,214,0
M,301.9,311.4,1456,52.8,88,0
L,299.8,311.5,1735,32.8,160,0
M,297.7,309.0,1445,53.6,169,0
L,300.6,310.3,1561,34.9,200,0
M,299.8,310.6,1600,37.1,67,0
M,299.7,309.0,1372,48.3,27,0
L,298.0,308.4,1299,53.5,15,0
H,297.5,307.8,1476,36.0,158,0
H,302.2,312.4,1479,40.1,17,0
M,303.0,311.8,1584,37.5,11,0
L,297.3,308.6,1327,54.4,90,0
L,301.4,310.7,1510,40.8,82,0
M,303.3,313.2,1480,41.3,174,0
L,297.9,308.6,1507,39.3,2,0
L,304.3,313.3,1419,48.2,176,0
M,297.4,309.5,1667,34.6,125,0
H,297.3,307.2,1393,48.8,25,0
L,302.6,311.3,1445,50.6,21,0
L,302.0,310.6,1614,35.5,121,0
M,298.8,308.4,1737,27.1,104,0
M,301.3,310.9,1782,26.3,190,0
L,297.7,308.4,1592,37.3,63,0
L,300.6,309.7,1507,31.3,48,0
L,296.2,307.2,1516,36.3,41,0
H,297.5,309.7,1467,51.0,190,0
H,298.5,309.3,1495,36.8,199,0
H,299.0,308.1,1465,42.0,197,0
L,299.1,310.6,1426,61.4,44,1
M,302.2,311.6,1333,54.8,35,0
M,298.1,308.4,1494,41.3,117,0
L,302.7,310.8,1495,38.7,206,0
H,298.7,308.2,1512,39.2,55,0
M,297.5,309.8,2037,18.6,38,0
L,299.7,309.3,1393,42.1,64,0
M,301.1,309.6,1326,60.9,115,1
H,298.7,309.8,1498,37.9,172,0
L,302.9,312.2,1647,33.5,89,0
M,300.1,310.3,1666,28.7,82,0
H,297.4,308.8,1416,39.7,75,0
L,304.0,311.8,1734,32.0,93,0
L,303.7,312.8,1557,37.2,193,0
L,298.0,307.9,1562,31.0,20,0
M,298.0,309.2,1416,47.6,65,0
M,295.5,306.2,1811,23.4,167,0
L,302.4,312.0,1816,25.0,203,0
M,304.1,313.4,2118,17.8,185,0
L,300.9,309.7,1449,54.9,136,0
L,300.2,309.9,1577,32.7,25,0
L,297.2,307.9,1391,43.5,216,0
L,299.7,310.8,1807,24.5,148,0
M,300.2,311.3,1543,40.9,192,0
L,300.4,311.4,1549,42.0,160,0
H,302.2,311.2,1436,45.0,49,0
L,297.3,309.0,1769,25.7,162,0
H,297.8,309.6,1393,55.3,48,0
L,302.5,311.7,1607,30.8,194,0
M,297.5,308.8,1436,43.5,17,0
M,299.2,310.8,1572,38.9,181,0
M,298.7,309.7,1613,36.2,8,0
L,298.7,308.7,1543,32.4,50,0
M,302.7,310.3,1606,35.1,108,0
L,299.2,308.4,1446,47.4,70,0
L,299.5,308.5,1384,44.5,179,0
L,296.2,307.0,1881,23.1,21,0
L,297.2,307.8,1438,45.6,73,0
M,304.2,313.4,1415,50.0,11,0
L,301.8,310.8,1538,38.9,36,0
M,303.5,311.4,1560,32.8,137,0
M,298.3,309.0,1660,31.1,188,0
M,297.4,308.5,1525,36.2,75,0
L,300.7,311.4,1515,41.8,81,0
H,303.3,311.6,1625,33.2,143,0
M,296.2,307.5,1335,50.5,47,0
L,303.0,310.9,1519,45.5,182,0
M,298.3,309.7,1413,44.0,35,0
M,297.7,307.9,1608,37.2,105,0
L,300.5,309.7,1367,45.5,63,0
L,299.4,309.4,1539,36.6,212,0
L,300.1,309.5,1801,24.5,3,0
M,298.1,309.0,1294,54.3,75,0
L,297.3,308.0,1557,33.6,76,0
L,297.4,308.4,1529,45.9,193,0
L,296.7,308.5,1556,37.6,28,0
L,302.0,311.3,1492,42.5,125,0
L,298.4,309.3,1371,49.8,204,0
L,296.5,307.7,1341,45.4,104,0
L,296.9,307.5,1599,33.4,74,0
L,297.6,308.5,1532,37.0,152,0
L,300.5,309.4,1686,31.8,60,0
H,301.7,310.0,1475,43.3,148,0
M,300.6,311.6,1374,58.1,29,0
L,300.8,312.3,1526,36.8,150,0
L,299.6,309.5,1593,34.5,106,0
L,297.9,308.4,1357,52.3,192,0
M,297.9,309.7,1558,36.1,88,0
L,302.0,311.2,1476,45.2,84,0
L,304.0,313.6,1455,48.5,41,0
L,298.9,309.6,1351,52.4,54,0
L,300.6,310.2,1463,53.2,179,0
L,298.8,309.5,1455,43.1,120,0
L,302.0,310.9,1583,35.2,171,0
L,298.7,309.0,1512,48.4,201,0
L,298.5,309.7,1499,37.0,108,0
L,297.0,309.0,1634,31.6,169,0
L,298.3,309.6,1237,64.3,40,0
L,299.5,308.8,1510,44.5,102,0
M,301.6,310.5,1350,55.9,38,0
H,300.8,309.6,1498,45.1,114,0
L,298.4,309.7,1392,51.2,128,0
L,298.8,308.4,1393,42.9,3,1
M,300.4,311.0,1388,66.6,133,1
L,301.9,310.6,1335,56.5,203,1
H,299.2,310.4,1658,26.9,69,0
M,299.3,309.4,1505,41.2,139,0
M,300.5,311.7,1310,59.0,152,0
L,295.5,305.8,1513,50.8,184,0
L,295.4,305.7,1948,22.8,4,0
H,298.5,309.2,1497,33.4,51,0
M,297.9,309.5,1690,28.7,111,0
M,304.1,313.4,1461,40.1,126,0
L,300.9,310.3,1429,47.4,21,0
H,301.1,310.5,1600,30.6,36,0
H,296.6,308.0,1652,31.6,93,0
L,300.6,312.1,1468,40.4,172,0
M,299.6,309.2,1657,33.5,157,0
L,300.7,312.0,1551,32.0,167,0
L,298.1,307.3,1639,28.9,147,0
M,300.3,311.9,1424,35.7,0,0
L,299.6,310.7,1478,36.0,163,0
L,302.5,310.8,1442,49.7,50,0
L,302.4,311.7,1608,35.1,16,0
M,302.6,311.6,1399,36.3,78,0
M,297.2,309.2,1605,35.8,121,0
L,302.2,310.8,1387,51.6,130,0
L,299.9,310.7,1503,41.1,8,0
L,301.0,312.6,1711,29.0,77,0
L,299.6,308.6,1479,38.1,32,0
L,298.8,308.8,1514,36.6,2,0
M,296.5,307.6,1494,43.3,58,0
M,300.7,311.3,1739,29.4,104,0
L,302.4,310.6,1471,42.4,107,0
L,303.4,312.9,1719,30.1,14,0
L,297.4,308.9,1855,24.1,81,0
L,300.5,308.6,1597,32.9,98,0
M,295.9,305.7,1330,49.9,49,0
M,298.5,308.3,2679,10.1,87,1
L,300.3,309.2,1598,36.4,160,0
M,300.6,309.9,1367,47.4,224,0
L,301.5,310.6,1410,45.3,189,0
L,301.7,309.9,1496,46.3,76,0
M,297.3,308.0,1813,25.4,216,0
M,300.2,311.9,1455,43.3,79,0
M,302.1,310.6,1350,47.8,37,1
L,301.3,310.6,1618,33.9,184,0
L,299.4,309.0,1682,29.8,169,0
L,299.5,310.3,1458,45.8,198,0
L,298.3,307.7,1690,28.5,148,0
L,298.8,309.1,1363,55.1,170,0
L,301.5,311.1,1733,28.1,99,0
L,299.2,310.8,1357,53.7,229,1
L,298.6,309.9,1477,38.4,65,0
M,300.9,310.2,1357,64.0,91,1
L,297.2,307.8,1443,39.7,220,1
M,297.4,308.0,1467,43.4,110,0
L,298.9,309.5,1685,30.7,178,0
L,297.6,309.6,1964,22.3,169,0
